,Unnamed: 0,league_team1,season,window,team1,country_team1,dir,player_id,player_name,player_age,player_nation,player_pos,team2,country_team2,transfer_value,market_value,is_free,is_loan,is_loan_end,is_retired,transfer_id,league_team2
0,0,POR1,2007,s,FC Porto,Portugal,left,31645,Anderson,19,Brazil,midfielder,Manchester United,England,31500000.0,25000000.0,False,False,False,False,124443,ENG1
1,1,POR1,2007,s,Sporting CP,Portugal,left,33706,Nani,20,Portugal,striker,Manchester United,England,25500000.0,25000000.0,False,False,False,False,124452,ENG1
2,2,GER1,2007,s,Bayern Munich,Germany,left,201,Owen Hargreaves,26,England,midfielder,Manchester United,England,25000000.0,25000000.0,False,False,False,False,122903,ENG1
3,3,ENG1,2007,s,West Ham United,England,left,4276,Carlos Tévez,23,Argentina,striker,Manchester United,England,12700000.0,NF,False,True,False,False,436838,ENG1
4,4,ENG2,2007,s,West Bromwich Albion,England,left,1320,Tomasz Kuszczak,25,Poland,goalkeeper,Manchester United,England,4300000.0,3400000.0,False,False,False,False,135972,ENG1
5,5,ENG2,2007,s,Manchester United Reserves,England,left,37442,Danny Simpson,20,England,defender,Manchester United,England,NF,NF,False,False,False,False,83491,ENG1
6,6,ENG2,2007,s,Manchester United U18,England,left,73514,Sam Hewson,18,England,midfielder,Manchester United,England,NF,NF,False,False,False,False,254024,ENG1
7,7,ITA1,2007,s,Parma FC,Italy,left,19104,Giuseppe Rossi,20,Italy,striker,Manchester United,England,0.0,6500000.0,False,True,True,False,128403,ENG1
8,8,SPA1,2007,s,Real Zaragoza,Spain,left,18944,Gerard Piqué,20,Spain,defender,Manchester United,England,0.0,4000000.0,False,True,True,False,100790,ENG1
9,9,ENG2,2007,s,Ipswich Town,England,left,37442,Danny Simpson,21,England,defender,Manchester United,England,0.0,900000.0,False,True,True,False,195032,ENG1
10,10,ENG2,2007,s,Sheffield United,England,left,15449,Lee Martin,21,England,midfielder,Manchester United,England,0.0,900000.0,False,True,True,False,195033,ENG1
11,11,ENG1,2007,s,Sunderland AFC,England,left,42412,Jonny Evans,20,Northern Ireland,defender,Manchester United,England,0.0,500000.0,False,True,True,False,195040,ENG1
12,12,ENG2,2007,s,Hull City,England,left,42411,Fraizer Campbell,20,England,striker,Manchester United,England,0.0,50000.0,False,True,True,False,195121,ENG1
13,13,ENG1,2007,s,Everton FC,England,left,4267,Tim Howard,28,United States,goalkeeper,Manchester United,England,0.0,4900000.0,False,True,True,False,89059,ENG1
14,14,BEL,2007,s,Royal Antwerp FC,Belgium,left,10064,Souleymane Mamam,22,Togo,midfielder,Manchester United,England,0.0,300000.0,False,True,True,False,13751,ENG1
15,15,ENG1,2007,s,Manchester United,England,left,5555,Gabriel Heinze,29,Argentina,defender,Real Madrid,Spain,12000000.0,13000000.0,False,False,False,False,144804,SPA1
16,16,ENG1,2007,s,Manchester United,England,left,19104,Giuseppe Rossi,20,Italy,striker,Villarreal CF,Spain,10000000.0,6500000.0,False,False,False,False,139197,SPA1
17,17,ENG1,2007,s,Manchester United,England,left,3768,Alan Smith,26,England,midfielder,Newcastle United,England,9000000.0,5500000.0,False,False,False,False,140042,ENG1
18,18,ENG1,2007,s,Manchester United,England,left,3548,Kieran Richardson,22,England,defender,Sunderland AFC,England,8199999.999999999,5000000.0,False,False,False,False,134894,ENG1
19,19,ENG1,2007,s,Manchester United,England,left,4267,Tim Howard,28,United States,goalkeeper,Everton FC,England,4200000.0,4900000.0,False,False,False,False,128569,ENG1
20,20,ENG1,2007,s,Manchester United,England,left,10064,Souleymane Mamam,22,Togo,midfielder,Royal Antwerp FC,Belgium,0.0,300000.0,True,False,False,False,135058,BEL
21,21,ENG1,2007,s,Manchester United,England,left,59175,Phil Marsh,20,England,striker,Blackpool FC,England,0.0,-,True,False,False,False,151090,ENG2
22,22,ENG1,2007,s,Manchester United,England,left,37140,Ritchie Jones,20,England,midfielder,Yeovil Town,England,0.0,250000.0,False,True,False,False,135056,ENG2
23,23,ENG1,2007,s,Manchester United,England,left,15449,Lee Martin,20,England,midfielder,Plymouth Argyle,England,0 €,1250000.0,False,True,False,False,153846,ENG2
24,24,ENG1,2007,s,Manchester United,England,left,59611,Michael Lea,19,England,defender,Royal Antwerp FC,Belgium,0 €,-,False,True,False,False,152516,BEL
25,25,ENG1,2007,s,Manchester United,England,left,15773,Phil Bardsley,22,Scotland,defender,Sheffield United,England,0 €,1250000.0,False,True,False,False,154983,ENG2
26,26,ENG1,2007,s,Manchester United,England,left,42411,Fraizer Campbell,20,England,striker,Hull City,England,0.0,50000.0,False,True,False,False,155220,ENG2
27,27,ENG1,2007,s,Manchester United,England,left,3394,Ole Gunnar Solskjaer,34,Norway,striker,Retired,Retired,0.0,1000000.0,False,False,False,True,120355,RET
28,28,ENG1,2007,s,Manchester United,England,left,1320,Tomasz Kuszczak,25,Poland,goalkeeper,West Bromwich Albion,England,0.0,3400000.0,False,True,True,False,135973,ENG2
29,29,FRA1,2007,s,Olympique Lyon,France,left,5461,Florent Malouda,27,French Guiana,striker,Chelsea FC,England,19000000.0,20000000.0,False,False,False,False,132657,ENG1
30,30,SPA1,2007,s,FC Barcelona,Spain,left,7829,Juliano Belletti,31,Brazil,defender,Chelsea FC,England,5500000.0,4500000.0,False,False,False,False,144855,ENG1
31,31,ENG1,2007,s,Bolton Wanderers,England,left,20714,Tal Ben Haim,25,Israel,defender,Chelsea FC,England,0.0,4700000.0,True,False,False,False,127105,ENG1
32,32,ENG1,2007,s,Reading FC,England,left,13427,Steve Sidwell,24,England,midfielder,Chelsea FC,England,0.0,2000000.0,True,False,False,False,123276,ENG1
33,33,GER1,2007,s,Bayern Munich,Germany,left,532,Claudio Pizarro,28,Peru,striker,Chelsea FC,England,0.0,9500000.0,True,False,False,False,120805,ENG1
34,34,ENG2,2007,s,Chelsea FC U18,England,left,45559,Miroslav Stoch,17,Slovakia,striker,Chelsea FC,England,NF,NF,False,False,False,False,191456,ENG1
35,35,ENG2,2007,s,Chelsea FC U18,England,left,31552,Scott Sinclair,18,England,striker,Chelsea FC,England,NF,800000.0,False,False,False,False,109577,ENG1
36,36,ENG2,2007,s,Chelsea FC U18,England,left,40611,Ryan Bertrand,17,England,defender,Chelsea FC,England,NF,NF,False,False,False,False,462513,ENG1
